date,scriptname,sample,runtime
17/05/2021,01_Preprocessing.R,0.01,22
17/05/2021,01_Preprocessing.R,0.1,50.16
17/05/2021,01_Preprocessing.R,0.2,105.06
17/05/2021,01_Preprocessing.R,0.3,133.85
17/05/2021,01_Preprocessing.R,0.4,191.87
17/05/2021,01_Preprocessing.R,0.5,236.4
17/05/2021,01_Preprocessing.R,0.6,311.42
17/05/2021,01_Preprocessing.R,0.7,346.81
17/05/2021,01_Preprocessing.R,0.8,458.27
17/05/2021,01_Preprocessing.R,0.9,519.71
17/05/2021,01_Preprocessing.R,1,591.02
18/05/2021,01_Preprocessing.R,0.01,392.59
17/05/2021,03_Modelling.R,0.01,12.33
2021-05-17,"03_Modelling_sequential.R",0.01,364.65
2021-05-17,"03_Modelling_parallel.R",0.01,387.59
2021-05-17,"03_Modelling_sequential.R",0.05,4743.13
2021-05-17,"03_Modelling_parallel.R",0.05,4629.45
